AERO1400,Introduction to Aircraft Construction and Design,"The study towards BE(Aeronautical) involves learning about the Design, Analysis, Flight, and Operation of Aircraft and other Flight Platforms. This unit facilitates the training towards becoming professional aeronautical engineers through a globally-unique experiential-learning opportunity to provide a strong background familiarity with aircraft hardware. This unit is designed to educate and facilitate the learning of aircraft design, basic aircraft construction techniques, the operation of light aircraft and the registration and regulations relating to light aircraft. In addition to hands-on skills on the construction phase, this unit facilitates learning in motivations for unique aircraft design, aircraft aerodynamics, flight mechanics, structural aspects and other design-related issues. Teamwork plays a very important role in this unit; the ability to work with peers and supervising staff is an invaluable skill sought after by employers of engineers. Throughout the semester, students will be actively participating in the construction of a light aircraft, and of aircraft structural components. The aircraft is to be constructed under current Australian Civil Aviation Regulations so that students will gain an insight into all aspects of the process. By being a part of the construction team, students will also experience the organisational requirements necessary to successfully complete a complex engineering project. The aircraft construction workshop component is complemented with lectures, homework, research and assignments to further enhance the learning experience on aircraft. The final outcome will be that students gain a good foundation of: aircraft design and analyses methods; innovative methods of construction; techniques for selecting, sizing and stressing components; regulatory requirements for certification; off-design requirements; construction tolerances; and team-work requirements in undertaking complex engineering projects.    Classes<br>    Lectures, Workshops    Assessment<br>    Through semester assessment (100%)    Assumed knowledge<br>    Some basic skills with engineering workshop hand tools is desirable.	                                        	        "
AERO1560,Introduction to Aerospace Engineering,"This unit of study introduces students to the role of professional aerospace engineers, along with the development of fundamental engineering knowledge and skills for aerospace vehicle design, analysis performance and operation. Students will learn through experience, to develop professional skills in research, interpretation, communication, and presentation of information relating to aerospace engineering. Expected learning includes: introduction to lateral thinking concepts; glossary of aerospace vehicle components and terminology; an introduction to the multiple disciplines related to aerospace engineering, such as aerodynamics, aircraft and spacecraft performance, mechanics of flight, aerospace structures, materials and propulsion systems; how the various disciplines are integrated into the design and development of flight platform systems; the operating characteristics of modern flight vehicles, their uses and limitations; modern developments and future trends in aerospace; the limitations of the aerospace environment; teamwork; and resource management. Significantly, professional enhancement is introduced through the development of basic hands-on workshop skills. These practical skills enable students to have a better appreciation of the tools that they are expected to apply their engineering knowledge to, during their aerospace engineering profession. Experiential learning is facilitated through developing skills with machine and hand tools; solid modelling; and microcontrollers in a supervised environment, to develop fundamentals of practical aerospace vehicle component design, manufacture, control, servicing, and repair. Manufacturing Technology: An overview of a range of processes related to the design and manufacture of aerospace components is provided through hands-on experience. Manufacturing Technology practical work is undertaken in: (a) Hand tools, Machining, and Fibreglassing - an introduction to basic manufacturing processes used to fabricate aerospace engineering hardware. Safety requirements: All students are required to provide their own personal protective equipment (PPE) and comply with the workshop safety rules provided in class. Students who fail to do this will not be permitted to enter the workshops. In particular, approved industrial footwear must be worn, and long hair must be protected by a hair net. Safety glasses must be worn at all times. (b) Solid Modelling - the use of computer aided design (CAD) tools to model geometry and create engineering drawings of engineering components. (c) Microcontrollers - ubiquitous in modern engineered products - will be introduced through experiential learning with development kits.    Classes<br>    Lectures, Tutorials, Workshops/ PC Labs    Assessment<br>    Through semester assessment (100%)                                        	                                                                Prohibitions            ENGG1800 OR MECH1560 OR MTRX1701 OR CIVL1900 OR CHNG1108 OR AMME1960 OR BMET1960 OR ENGG1960                                        "
AERO2703,Aircraft Performance and Operations,"This unit aims to develop in students an understanding of the fundamental concepts involved in the operation and performance of aircraft. The students will acquire an ability to make accurate and meaningful measurements of take-off, climb, cruise, turn, descent and landing performance; to perform weight and balance calculations; to understand the use of aerodynamic derivatives and their impact on aircraft performance. Students will be shown methods to optimise performance for specific missions. It will also cover modern issues such as airport congestion, noise restrictions, aviation certification requirements for the use of different aircraft categories and novel methods solving these problems.    Classes<br>    Lectures, Tutorials    Assessment<br>    Through semester assessment (50%) and Final Exam (50%)    Assumed knowledge<br>    AERO1560 or ENGG1800, Familiarity with fundamental Aerospace concepts.	                                        	                                                        Pre-requisites            (MATH1001 OR MATH1021 OR MATH1901 OR MATH1921 OR MATH1906 OR MATH1931) AND (MATH1002 OR MATH1902) AND (MATH1003 OR MATH1023 OR MATH1903 OR MATH1923) AND ENGG1801                                                "
AERO2705,Space Engineering 1,"This unit aims to introduce students to the terminology, technology and current practice in the field of Space Engineering. Course content will include a variety of topics in the area of orbital mechanics, satellite systems and launch requirements. Case studies of current systems will be the focus of this unit.    Classes<br>    Lectures, Tutorials    Assessment<br>    Through semester assessment (50%) and Final Exam (50%)    Assumed knowledge<br>    ENGG1801. First Year Maths and basic MATLAB programming skills.	                                        	                                                        Pre-requisites            (AERO1560 OR MECH1560 OR MTRX1701 OR ENGG1800) AND (MATH1001 OR MATH1021 OR MATH1901 OR MATH1921 OR MATH1906 OR MATH1931) AND (MATH1002 OR MATH1902) AND (MATH1003 OR MATH1023 OR MATH1903 OR MATH1923). Entry to this unit requires that students are eligible for the Space Engineering Major.                                                "
AERO2711,Aerospace Engineering Project 1,"This unit of study aims to develop deeper practical knowledge in the area of Aerospace systems engineering. Students who take this subject would be interested in developing design skills by working on the sub-system of a real satellite or launch vehicle, autonomous vehicle research, flight simulation research or advanced propulsion systems research.    Classes<br>    Meeting, Project Work - own time    Assessment<br>    Through semester assessment (100%)    Additional information<br>    Note 1: A WAM of &gt; 75% is required as well as an Invitation from the Dean to participate in the Advanced Engineering Program. Note 2: There is a cap on the number of students allowed to do this subject in any one semester- depending on resources available.    Assumed knowledge<br>    Completed the first year of Aero (Space), Mechanical (Space) or Mechatronic (Space) Engineering.	                                        	        "
AERO3260,Aerodynamics 1,"This unit of study should prepare students to be able to undertake aerodynamic performance calculations for industry design situations.The unit aims to develop a knowledge and appreciation of the complex behaviour of airflow in the case of two dimensional aerofoil sections and three dimensional wings; To encourage hands-on experimentation with wind-tunnel tests to allow an understanding of these concepts and their range of applicability. To understand the limitations of linearised theory and the effects of unsteady flow.    Classes<br>    Laboratories, Lectures, Tutorials    Assessment<br>    Through semester assessment (50%) and Final Exam (50%)    Assumed knowledge<br>    General conservation equations applied to fluid flow; Fundamental elements of potential flow; Vorticity and its effect on ideal flow; Basic mathematical skills required for plotting and graphing data; Linear algebra for solution of simultaneous linear equations; Fourier series; Complex numbers and complex functions.	                                        	                                                        Pre-requisites            (AMME2200 or AMME2261)                                                "
AERO3261,Propulsion,"This unit of study teaches the students the techniques used to propel aircraft. The students will learn to analyse various propulsion systems in use- propellers, gas turbines, etc.The topics covered include: Propulsion unit requirements for subsonic and supersonic flight; thrust components, efficiencies, additive drag of intakes; piston engine components and operation; propeller theory; operation, components and cycle analysis of gas turbine engines; turbojets; turbofans; turboprops; ramjets. Components: compressor, fan, burner, turbine, nozzle. Efficiency of components: Off-design considerations. Future directions: minimisation of noise and pollution; scram-jets; hybrid engines.    Classes<br>    Lectures, Tutorials    Assessment<br>    Through semester assessment (55%) and Final Exam (45%)    Assumed knowledge<br>    Good knowledge of fluid dynamics and thermodynamics	                                        	                                                        Pre-requisites            AMME2200 or (AMME2261 and AMME2262)                                                "
AERO3360,Aerospace Structures 1,"This unit aims to develop a student&apos;s understanding of the theoretical basis of advanced aerospace structural analysis; and introduce students to the solution of real-world aircraft structural problems. This unit of study will develop the following attributes: An understanding of the derivation of the fundamental equations of elasticity and their application in certain analytical problems; An understanding of plate theory and the ability to use this to obtain analytical solutions for plate bending and buckling problems; An understanding of energy-method to develop a deeper appreciation for the complexities of designing solution techniques for structural problems; An understanding of the basic principals behind stressed-skin aircraft construction and the practical analysis of typical aircraft components, including the limitations of such techniques.At the end of this unit students will have an understanding of: 2-D and 3-D elasticity- general equations and solution techniques; Energy methods in structural analysis, including the principles of virtual work and total potential and complimentary energies; Fundamental theory of plates, including in-plane and bending loads as well as buckling and shear instabilities; Solution techniques for plate problems, including Navier solutions for rectangular plates; Combined bending and in-plane loading problems; Energy methods for plate-bending; and Plate buckling for compression and shear loadings; Bending of beams with unsymmetrical cross-sections; Basic principles and theory of stressed-skin structural analysis; Determination of direct stresses and shear flows in arbitrary thin-walled beams under arbitrary loading conditions including: Unsymmetrical sections, Open and closed sections, Single and multi-cell closed sections, Tapered sections, Continuous and idealized sections; The analysis of common aircraft components including fuselages, wings, skin-panels, stringers, ribs, frames and cut-outs; The effects of end constraints and shear-lag on the solutions developed as well as an overall appreciation of the limitations of the solution methods presented.    Classes<br>    Lectures, Tutorials    Assessment<br>    Through semester assessment (45%) and Final Exam (55%)                                        	                                                        Pre-requisites            AMME2301                                                "
AERO3460,Aerospace Design 1,"This unit aims to introduce students to the theory and practice of aircraft component design. In doing so it will emphasize all the considerations, trade-offs and decisions inherent in this process and thus enable students to gain an understanding of why aircraft structures are designed in the way they are with respect to aircraft operational, certification, manufacturing and cost considerations. At the end of this unit students will be able to understand the design process, especially as it applies to aircraft individual component design; Have a familiarity with some of the standard industry practices for component design; An increasing familiarity with typical aerospace analysis techniques along with the primary failure modes that need to be considered; An understanding of the importance of different failure modes for different components and how these relate to load-conditions; a familarity with the operating environment that must be considered when designing components; and understanding of some of the legal and ethical requirements of aircraft design engineers to give a basic understanding of the regulatory framework in which aircraft design is conducted.    Classes<br>    Lectures, Project Work - in class, Project Work - own time    Assessment<br>    Through semester assessment (100%)                                        	                                                        Pre-requisites            AMME2301 and MECH2400                                                "
AERO3465,Aerospace Design 2,"This unit aims to develop an understanding of the aerospace industry procedures for design, analysis, and testing of aircraft and aerospace vehicle components. It provides a Design-Build-Test experience by putting into practice, learning outcomes from this and other previously completed UoS, through working on a small structure which is representative of a typical light metal aircraft. Students will be introduced to typical metallic and composite materials and structures for aerospace vehicles. The unit also provides an introduction to fatigue and damaged tolerance analysis of metallic aircraft structures. Experiential learning opportunities are provided to acquire skills and knowledge in structural design, analyses, testing methods, procedures, techniques, and equipment. On satisfactory completion of this unit students will have gained practical skills relevant to working on typical modern aircraft and aerospace vehicle components. They will learn from methods, techniques, and experiences from the modern aerospace industry. Experiential learning is enhanced through verifying analyses with actual testing of fabricated component, and the experience of a full design-build-test cycle of a typical aerospace structural component. Subject areas covered will include design methods, internal loads calculations, stress analysis, design for manufacture, joints and fasteners, test procedures, fatigue and damage tolerance, composites, and the art of design.    Classes<br>    Lectures, Tutorials    Assessment<br>    Through semester assessment (100%)    Assumed knowledge<br>    AERO1400 AND AMME2302 AND AMME1362	                                        	                                                        Pre-requisites            AMME2301 and MECH2400                                                "
